Clave compendio,Codigo del expediente,Número del procedimiento o contratación,Partida específica,Clave CUCoP+,Descripción CUCoP+,Descripción detallada,Unidad de medida,Cantidad solicitada,Clave partidas,Dependencia,desc_det_anuncio,uc,fecha_presentacion,fecha_pub,uri,scrapped_day
010.000.3999.01,E-2024-00114409,LA-07-110-007000999-T-91-2025,25301,25301-2479,010.000.3999.01 COLAGENA-POLIVINILPIRROLIDONA SUSPENSION INYECTABLE 141.3 MG/8.33 MG 4 ML,POLIVINILPIRROLIDONA (PVC) EN SOLUCIÓN AL 7%. CAJA DE 5 VIALES DE 0.5 ML.,PIEZA,2,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0605,INSUMO QUIRURGICO,HYALURONIDASA EN SOLUCIÓN. KIT DE 5 VIALES DE 1 ML.,PIEZA,2,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0023,AGUJA PARA PUNCION DE VASOS,"SET DE PUNCIÓN DE OVOCITOS (O.P.S.) CON VÁLVULA JUEGO DE AGUJAS DE ASPIRACIÓN, DE IRRIGACIÓN CON PUNTA ECOGÉNICA DE 30 CM DE LONGITUD Y CALIBRE 16. CON TAPÓN DE SILICÓN, TUBO DE EXTENSIÓN TRANSLUCIDO Y CÁNULA DE ACERO INOXIDABLE.",PIEZA,80,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0100,CATETER,CATÉTER DE TRANSFERENCIA EMBRIONARIA WALLACE SURE PRO ULTRA CON OBTURADOR ECOGÉNICO A TRAVÉS DE SISTEMA DE BURBUJAS.,PIEZA,60,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0092,CANULA,"CÁNULA DE INSEMINACIÓN INTRAUTERINA AVEC CON MANDRIL, 17 CM. DE LARGO.",PIEZA,20,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0242,GUANTE PARA CIRUJANO,"GUANTE PARA CIRUGÍA DE LÁTEX SIN POLVO, HECHOS CON MATERIAL NO EMBRIOTÓXICO. CAJA CON 50 PARES, NÚMERO 7.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0242,GUANTE PARA CIRUJANO,"GUANTE PARA CIRUGÍA DE LÁTEX SIN POLVO, HECHOS CON MATERIAL NO EMBRIOTÓXICO. CAJA CON 50 PARES, NÚMERO 8.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0605,INSUMO QUIRURGICO,MEDIO PARA DESVITRIFICACION DE OVOCITOS Y EMBRIONES (KIT).,PIEZA,4,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0605,INSUMO QUIRURGICO,"MEDIO HTF MODIFICADO CON HEPES PARA CULTIVO CELULAR, SULFATO DE GENTAMICINA SIN PROTEINA. FRASCO DE 100 ML.",PIEZA,15,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0605,INSUMO QUIRURGICO,MEDIOS PARA VITRIFICACION DE OVOCITOS Y EMBRIONES (KIT).,PIEZA,6,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
